no,notes,Rufa_subpop,track_data,movebank_name,move_bank_no. ,Project,LotekSerialNum,Program_number,tag-manufacturer-name,tag-model,tag-mass,repetition_no,duty-cycle,tag-comment,ArgosID,attachment_type,deployment-comment,deploy-on-person,deploy-on-latitude,deploy-on-longitude,,Banding_or_recapture_Date,deploy-on-timestamp,Location,Band Number,animal-marker-id,animal-id,Code,AGE,SEX,deploy-on-measurements,WEIGHT,FIRE TIME,Lapsed minutes,deploy_d,deploy_m,deply_y
0,,,,,,to be split by study,tag-serial-no,Program_number,tag-manufacturer-name,tag-model,tag-mass,tag-beacon-frequency,duty-cycle,tag-comment,tag-id,attachment_type,deployment-comment,deploy-on-person,deploy-on-latitude,deploy-on-longitude,deployment-id,deploy-on-date,deploy-on-timestamp,study-site,animal-ring-id,animal-marker-id,animal-id,Code,animal-life-stage,animal-sex,deploy-on-measurements,animal-mass,capture-timestamp,capture-handling-time,,,
303,,,track,"SC tags, grouped with Atlantic Shores, see SC for deployemnt details (F.Sanders)",1235069252,Atlantic Shores,55565,17165,Lotek,Lotek PinPoint GPS-Argos 75,,60,,,229326,,blood taken,,32.577316,-80.144126,,20/4/2022,2022/04/20 00:00:00.00,KIAWAHWEST,1332-72215,,,FELG(+X3)/-:-/m,,u,"'{culmenInMillimeters:33.0,theadInMilimeters:63.5, wingInMillimeters:174}'",136,,,,,
304,"Missing REF , marked as not deployed in spring 2022 and will be deployed in NY 2023? Points have no geometry ?",,not_deployed,,,Atlantic Shores,55566,17165,Lotek,Lotek PinPoint GPS-Argos 75,,60,,,229327,,,,,,,,,,,,,,,,,,,,,,
305,,,track,"SC tags, grouped with Atlantic Shores, see SC for deployemnt details (F.Sanders)",1235069252,Atlantic Shores,55567,17165,Lotek,Lotek PinPoint GPS-Argos 75,,60,,,229328,,blood taken,,32.577316,-80.144126,,20/4/2022,2022/04/20 00:00:00.00,KIAWAHWEST,1262-04570,,,FELG(3+8)/-:-/m,,u,"'{culmenInMillimeters:34.4,theadInMilimeters:61.1, wingInMillimeters:180}'",140,,,,,
306,,,failed,"SC tags, grouped with Atlantic Shores, see SC for deployemnt details (F.Sanders)",1235069252,Atlantic Shores,55568,17165,Lotek,Lotek PinPoint GPS-Argos 75,,60,,,229329,,blood taken,,32.577316,-80.144126,,20/4/2022,2022/04/20 00:00:00.00,KIAWAHWEST,1332-72217,,,FELG(+A4)/-:-/m,,u,"'{culmenInMillimeters:34.8,theadInMilimeters:64.4, wingInMillimeters:172}'",139,,,,,
307,,,track,"SC tags, grouped with Atlantic Shores, see SC for deployemnt details (F.Sanders)",1235069252,Atlantic Shores,55569,17165,Lotek,Lotek PinPoint GPS-Argos 75,,60,,,229330,,blood taken,,32.577316,-80.144126,,20/4/2022,2022/04/20 00:00:00.00,KIAWAHWEST,1262-04586,,,FELG(6+9)/-:-/m,,u,"'{culmenInMillimeters:33.5,theadInMilimeters:61.9, wingInMillimeters:170}'",136,,,,,
308,Missing REF ,,not_deployed/failed,,,Atlantic Shores,55570,17165,Lotek,Lotek PinPoint GPS-Argos 75,,60,,,229331,,,,,,,,,,,,,,,,,,,,,,
309,,,track,"SC tags, grouped with Atlantic Shores, see SC for deployemnt details (F.Sanders)",1235069252,Atlantic Shores,55571,17165,Lotek,Lotek PinPoint GPS-Argos 75,,60,,,229332,,blood taken,,32.577316,-80.144126,,20/4/2022,2022/04/20 00:00:00.00,KIAWAHWEST,1332-72209,,,FELG(+P3)/-:-/m,,u,"'{culmenInMillimeters:38.2,theadInMilimeters:69.5, wingInMillimeters:173}'",150,,,,,
310,"Missing REF , marked as not deployed in spring 2022 and will be deployed in NY 2023? Points have no geometry ?",,not_deployed,listed in atlantic but no record of deployment info?,,Atlantic Shores,55572,17165,Lotek,Lotek PinPoint GPS-Argos 75,,60,,,229333,,,,,,,,,,,,,,,,,,,,,,
311,"Missing REF , marked as not deployed in spring 2022 and will be deployed in NY 2023? Points have no geometry ?",,not_deployed,listed in atlantic but no record of deployment info?,,Atlantic Shores,55573,17165,Lotek,Lotek PinPoint GPS-Argos 75,,60,,,229334,,,,,,,,,,,,,,,,,,,,,,
312,,,track,"SC tags, grouped with Atlantic Shores, see SC for deployemnt details (F.Sanders)",1235069252,Atlantic Shores,55574,17165,Lotek,Lotek PinPoint GPS-Argos 75,,60,,,229335,,,,32.577316,-80.144126,,20/4/2022,2022/04/20 00:00:00.00,KIAWAHWEST,1262-04589,,,FELG(7+8)/-:-/m,,u,"'{culmenInMillimeters:33.3,theadInMilimeters:62.1, wingInMillimeters:170}'",139,,,,,
