no,notes,Rufa_subpop,track_data,movebank_name,move_bank_no. ,Project,LotekSerialNum,Program_number,tag-manufacturer-name,tag-model,tag-mass,repetition_no,duty-cycle,tag-comment,ArgosID,attachment_type,deployment-comment,deploy-on-person,deploy-on-latitude,deploy-on-longitude,,Banding_or_recapture_Date,deploy-on-timestamp,Location,Band Number,animal-marker-id,animal-id,Code,AGE,SEX,deploy-on-measurements,WEIGHT,FIRE TIME,Lapsed minutes,deploy_d,deploy_m,deply_y
0,,,,,,to be split by study,tag-serial-no,Program_number,tag-manufacturer-name,tag-model,tag-mass,tag-beacon-frequency,duty-cycle,tag-comment,tag-id,attachment_type,deployment-comment,deploy-on-person,deploy-on-latitude,deploy-on-longitude,deployment-id,deploy-on-date,deploy-on-timestamp,study-site,animal-ring-id,animal-marker-id,animal-id,Code,animal-life-stage,animal-sex,deploy-on-measurements,animal-mass,capture-timestamp,capture-handling-time,,,
,no_location_data,,,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,F74BD5F,,Lotek,Loteck 5/PPT-10,4,60,,,194900,glued,,,50.192778,-63.745278,,2020/09/01,2020/09/01 00:00:00.00,MINGAN_NIAPISKAU,9802-82324,,,FEW(MEU),HY,M," '{culmenInmillimeters:33.8, theadInMillimeters: , wingInMillimeters: 160}'",127.0,,,,,
,no_location_data,,failed,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,F74BD6A,,Lotek,Loteck 5/PPT-10,4,60,,Signal failed but don't know if bird alive,194901,neck-loop harness,,,50.193056,-63.854722,,2020/10/02,2020/10/02 00:00:00.00,MINGAN_GRANDE,9802-82359,,,FEW(MCC),HY,F," '{culmenInmillimeters:32.4, theadInMillimeters: , wingInMillimeters: 163}'",128.5,,,,,
,no_location_data,,failed,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,F74BD79,,Lotek,Loteck 5/PPT-10,4,60,,signal failed-Bird resighted later,194902,glued,,,50.192778,-63.745278,,2020/08/22,2020/08/22 00:00:00.00,MINGAN_NIAPISKAU,802-64788,,,FEW(MAX),AHY,M," '{culmenInmillimeters:32.8, theadInMillimeters: , wingInMillimeters: 163}'",132.8,,,,,
,no_location_data,,,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,F74BD8B,,Lotek,Loteck 5/PPT-10,4,60,,,194903,glued,,,50.193056,-63.854722,,2020/10/02,2020/10/02 00:00:00.00,MINGAN_GRANDE,9802-82364,,,FEW(MCL),HY,F," '{culmenInmillimeters:33.9, theadInMillimeters: , wingInMillimeters: 167}'",131.1,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,F74BD98,,Lotek,Loteck 5/PPT-10,4,60,,,194904,neck-loop harness,,,50.193056,-63.854722,,2020/10/02,2020/10/02 00:00:00.00,MINGAN_GRANDE,9802-82361,,,FEW(MCH),HY,M," '{culmenInmillimeters:34.2, theadInMillimeters: , wingInMillimeters: 163}'",127.8,,,,,
,no_location_data,,,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,0C130F2,,Lotek,Loteck 5/PPT-10,4,60,,,194905,neck-loop harness,,,50.192778,-63.745278,,2020/09/01,2020/09/01 00:00:00.00,MINGAN_NIAPISKAU,802-64798,,,FEW(MAY),HY,M," '{culmenInmillimeters:34.7, theadInMillimeters: , wingInMillimeters: 162}'",136.6,,,,,
,no_location_data,,,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,0C16300,,Microwave Telemetry,2gSolarPTT,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,no_location_data,,,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,0C16313,,Microwave Telemetry,2gSolarPTT,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,no_location_data,,,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,0C16326,,Microwave Telemetry,2gSolarPTT,2,60,,,198865,neck-loop harness,,,50.193056,-63.854722,,2020/10/02,2020/10/02 00:00:00.00,MINGAN_GRANDE,9802-82358,,,FEW(MCA),HY,F," '{culmenInmillimeters:37.3, theadInMillimeters: , wingInMillimeters: 169}'",144.2,,,,,
,no_location_data,,,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,0D4EF5F,,Microwave Telemetry,2gSolarPTT,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,no_location_data,,,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,0D4EF6A,,Lotek,Loteck 5/PPT-10,4,60,,,199797,glued,,,50.192778,-63.745278,,2020/09/01,2020/09/01 00:00:00.00,MINGAN_NIAPISKAU,9802-82323,,,FEW(MEH),HY,M," '{culmenInmillimeters:32.8, theadInMillimeters: , wingInMillimeters: 162}'",125.7,,,,,
,,,failed,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,0D4EF79,,Lotek,Loteck 5/PPT-10,4,60,,,199798,glued,,,50.192778,-63.745278,,2020/08/22,2020/08/22 00:00:00.00,MINGAN_NIAPISKAU,802-64793,,,FEW(MAN),HY,F," '{culmenInmillimeters:33.9, theadInMillimeters: , wingInMillimeters: 164}'",132.0,,,,,
,no_location_data,,,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,0D4EF8B,,Lotek,Loteck 5/PPT-10,4,60,,,199799,glued,,,50.192778,-63.745278,,2020/08/22,2020/08/22 00:00:00.00,MINGAN_NIAPISKAU,802-64794,,,FEW(MAM),HY,M," '{culmenInmillimeters:32.3, theadInMillimeters: , wingInMillimeters: 164}'",133.0,,,,,
,no_location_data,,failed,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,0D4EF98,,Lotek,Loteck 5/PPT-10,4,60,,Signal failed but don't know if bird alive,199800,neck-loop harness,,,50.192778,-63.745278,,2020/08/22,2020/08/22 00:00:00.00,MINGAN_NIAPISKAU,802-64792,,,FEW(MAH),HY,F," '{culmenInmillimeters:34.4, theadInMillimeters: , wingInMillimeters: 166}'",131.2,,,,,
,no_location_data,,failed,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,0D4EFAD,,Lotek,Loteck 5/PPT-10,4,60,,signal failed-Bird resighted later,199801,glued,,,50.192778,-63.745278,,2020/10/16,2020/10/16 00:00:00.00,MINGAN_NIAPISKAU,9802-82377,,,FEW(MHY),HY,M," '{culmenInmillimeters:31.8, theadInMillimeters: , wingInMillimeters: 162}'",128.5,,,,,
,no_location_data,,failed,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,0D4EFBE,,Lotek,Loteck 5/PPT-10,4,60,,signal failed-Bird resighted later,199802,glued,,,50.192778,-63.745278,,2020/10/16,2020/10/16 00:00:00.00,MINGAN_NIAPISKAU,9802-82379,,,FEW(MKC),HY,M," '{culmenInmillimeters:33.2, theadInMillimeters: , wingInMillimeters: 157}'",127.2,,,,,
,no_location_data,,failed,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,0D4EFC7,,Lotek,Loteck 5/PPT-10,4,60,,Signal failed but don't know if bird alive,199803,neck-loop harness,,,50.192778,-63.745278,,2020/10/16,2020/10/16 00:00:00.00,MINGAN_NIAPISKAU,9802-82374,,,FEW(MHU),HY,M," '{culmenInmillimeters:37.3, theadInMillimeters: , wingInMillimeters: 163}'",131.9,,,,,
,no_location_data,,failed,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,0D4EFD4,,Lotek,Loteck 5/PPT-10,4,60,,signal failed-Bird resighted later,199804,neck-loop harness,,,50.192778,-63.745278,,2020/10/16,2020/10/16 00:00:00.00,MINGAN_NIAPISKAU,9802-82376,,,FEW(MHX),HY,M," '{culmenInmillimeters:34.1, theadInMillimeters: , wingInMillimeters: 156}'",138.9,,,,,
,no_location_data,,failed,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,0D4EFE1,,Lotek,Loteck 5/PPT-10,4,60,,Signal failed but don't know if bird alive,199805,neck-loop harness,,,50.192778,-63.745278,,2020/10/16,2020/10/16 00:00:00.00,MINGAN_NIAPISKAU,9802-82375,,,FEW(MHV),HY,M," '{culmenInmillimeters:35.0, theadInMillimeters: , wingInMillimeters: 167}'",143.6,,,,,
,no_location_data,,failed,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,55013,,Lotek,Loteck 5/PPT-10,4,60,,Signal failed but don't know if bird alive,199806,neck-loop harness,,,50.192778,-63.745278,,2020/10/16,2020/10/16 00:00:00.00,MINGAN_NIAPISKAU,9802-82373,,,FEW(MHP),HY,F," '{culmenInmillimeters:35.9, theadInMillimeters: , wingInMillimeters: 165}'",134.1,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,55014,,Lotek,lotek PinPoint 75,3.909,60,,,213935,neck-loop harness,,,50.192778,-63.745278,,2021/09/08,2021/09/08 00:00:00.00,MINGAN_NIAPISKAU,9802-82245,,,FEW(2UH),HY,M," '{culmenInmillimeters:37.5,theadInMillimeters: , wingInMillimeters: 169}'",134.4,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,55015,,Lotek,lotek PinPoint 75,3.965,60,,,213936,glued,,,50.192778,-63.745278,,2021/09/21,2021/09/21 00:00:00.00,MINGAN_NIAPISKAU,9802-82254,,,FEW(2NN),HY,F," '{culmenInmillimeters:36.2, theadInMillimeters:  ,wingInMillimeters: 168}'",133.6,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,55016,,Lotek,lotek PinPoint 75,3.938,60,,Bird predated?,213937,neck-loop harness,,,50.192778,-63.745278,,2021/09/08,2021/09/08 00:00:00.00,MINGAN_NIAPISKAU,9802-82244,,,FEW(2UX),HY,F," '{culmenInmillimeters:35.1,theadInMillimeters: , wingInMillimeters: 167}'",143.9,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,55017,,Lotek,lotek PinPoint 75,3.901,60,,,213938,glued,,,50.192778,-63.745278,,2021/10/06,2021/10/06 00:00:00.00,MINGAN_NIAPISKAU,9802-82292,,,FEW(2TL),HY,F," '{culmenInmillimeters:37.2, theadInMillimeters:  ,wingInMillimeters: 165}'",140.1,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,55018,,Lotek,lotek PinPoint 75,3.962,60,,,213939,glued,,,50.192778,-63.745278,,2021/09/21,2021/09/21 00:00:00.00,MINGAN_NIAPISKAU,9802-82256,,,FEW(2NU),HY,M," '{culmenInmillimeters:34.4, theadInMillimeters:  ,wingInMillimeters: 167}'",119.4,,,,,
,,,failed,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,55019,,Lotek,lotek PinPoint 75,3.978,60,,Signal failed but don't know if bird alive,213940,neck-loop harness,,,50.200556,-63.8175,,2021/08/25,2021/08/25 00:00:00.00,MINGAN_QUARRY,9822-53123,,,FEW(LJN),AHY,M," '{culmenInmillimeters:36.8,theadInMillimeters: , wingInMillimeters: 168}'",177.6,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,55020,,Lotek,lotek PinPoint 75,3.991,60,,,213941,glued,,,50.192778,-63.745278,,2021/10/06,2021/10/06 00:00:00.00,MINGAN_NIAPISKAU,9802-82285,,,FEW(2TV),HY,F," '{culmenInmillimeters:35.3, theadInMillimeters:  ,wingInMillimeters: 162}'",134.4,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,55021,,Lotek,lotek PinPoint 75,3.977,60,,,213942,glued,,,50.192778,-63.745278,,2021/10/06,2021/10/06 00:00:00.00,MINGAN_NIAPISKAU,9802-82286,,,FEW(2TC),HY,F," '{culmenInmillimeters:36.3, theadInMillimeters:  ,wingInMillimeters: 167}'",139.4,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,55022,,Lotek,lotek PinPoint 75,3.953,60,,,213943,glued,,,50.192778,-63.745278,,2021/09/21,2021/09/21 00:00:00.00,MINGAN_NIAPISKAU,9802-82258,,,FEW(2NV),HY,M," '{culmenInmillimeters:34.9, theadInMillimeters:  ,wingInMillimeters: 160}'",121.5,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,55023,,Lotek,lotek PinPoint 75,4.022,60,,,213944,neck-loop harness,,,50.192778,-63.745278,,2021/09/08,2021/09/08 00:00:00.00,MINGAN_NIAPISKAU,9802-82246,,,FEW(2UL),HY,F," '{culmenInmillimeters:36.8, theadInMillimeters:  ,wingInMillimeters: 170}'",142.3,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,55024,,Lotek,lotek PinPoint 75,3.982,60,,,213945,glued,,,50.192778,-63.745278,,2021/10/06,2021/10/06 00:00:00.00,MINGAN_NIAPISKAU,9802-82284,,,FEW(2TP),HY,F," '{culmenInmillimeters:35.5, theadInMillimeters:  ,wingInMillimeters: 161}'",135.6,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,55025,,Lotek,lotek PinPoint 75,3.989,60,,Bird predated?,213946,neck-loop harness,,,50.200556,-63.8175,,2021/08/25,2021/08/25 00:00:00.00,MINGAN_QUARRY,1182-00648,,,FEW(2UM),HY,U," '{culmenInmillimeters:34.1,theadInMillimeters: , wingInMillimeters: 163}'",138.2,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,55026,,Lotek,lotek PinPoint 75,3.979,60,,,213947,neck-loop harness,,,50.200556,-63.8175,,2021/08/25,2021/08/25 00:00:00.00,MINGAN_QUARRY,1182-00647,,,FEW(2UC),HY,M," '{culmenInmillimeters:34.7,theadInMillimeters: , wingInMillimeters: 163}'",138.2,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,55189,,Lotek,lotek PinPoint 75,4.3559,,,,213948,Glue and suture,,,50.193056,-63.854722,,2022/08/30,2022/08/30 00:00:00.00,MINGAN_GRANDE,9802-83675,,,FEW(UUH),HY,M," '{culmenInmillimeters:36.5, theadInMillimeters: ,wingInMillimeters: 158}'",143.2,,,,,
,Black-bellied Plover,,not_rekn,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,39CA135,,Lotek,PTT solarLotek,6.18,60,,,224455,Harness,,,50.192778,-63.745278,,2022/10/23,2022/10/23 00:00:00.00,MINGAN_NIAPISKAU,1103-24581,,,M,HY,U," '{culmenInmillimeters:, theadInMillimeters: ,wingInMillimeters: 185}'",208.8,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,39CA14C,,Lotek,Sunbird Lotek,2,60,,,229363,Glue and suture,,,50.193056,-63.854722,,2022/09/01,2022/09/01 00:00:00.00,MINGAN_GRANDE,9802-83697,,,FEW(UCK),AHY,M," '{culmenInmillimeters:-, theadInMillimeters: ,wingInMillimeters: 165}'",170.3,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,39CA15F,,Lotek,Sunbird Lotek,2,60,,,229364,Glue and suture,,,50.192778,-63.745278,,2022/10/23,2022/10/23 00:00:00.00,MINGAN_NIAPISKAU,9822-51712,,,FEW(UHM),HY,F," '{culmenInmillimeters:37.5, theadInMillimeters: ,wingInMillimeters: 168}'",175.5,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,39CA16A,,Lotek,Sunbird Lotek,2,60,,,229365,Glue and suture,,,50.192778,-63.745278,,2022/10/23,2022/10/23 00:00:00.00,MINGAN_NIAPISKAU,9822-51725,,,FEW(UNK),HY,M," '{culmenInmillimeters:33.7, theadInMillimeters: ,wingInMillimeters: 160}'",166.2,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,39CA179,,Lotek,Sunbird Lotek,2,60,,,229366,Glue and suture,,,50.193056,-63.854722,,2022/09/01,2022/09/01 00:00:00.00,MINGAN_GRANDE,9802-83691,,,FEW(ULV),HY,M," '{culmenInmillimeters:-, theadInMillimeters: ,wingInMillimeters: 157}'",155.2,,,,,
,missing ref,,not_deployed,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,39CA18B,,,,,60,,,229367,,,,,,,,,,,,,,,,,,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,39CA198,,Lotek,Sunbird Lotek,2,60,,,229368,Glue and suture,,,50.192778,-63.745278,,2022/10/23,2022/10/23 00:00:00.00,MINGAN_NIAPISKAU,9822-51730,,,FEW(UNU),HY,M," '{culmenInmillimeters:34.2, theadInMillimeters: ,wingInMillimeters: 163}'",154.5,,,,,
,,,failed,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,39CA1AD,,Lotek,Sunbird Lotek,2,60,,,229369,Glue and suture,,,50.192778,-63.745278,,2022/10/23,2022/10/23 00:00:00.00,MINGAN_NIAPISKAU,9822-51731,,,FEW(UNE),HY,M," '{culmenInmillimeters:34.6, theadInMillimeters: ,wingInMillimeters: 164}'",151.7,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,3F2475F,,Lotek,Sunbird Lotek,2,60,,,229370,Glue and suture,,,50.192778,-63.745278,,2022/10/23,2022/10/23 00:00:00.00,MINGAN_NIAPISKAU,9822-51705,,,FEW(UHY),HY,M," '{culmenInmillimeters:36.0, theadInMillimeters: ,wingInMillimeters: 161}'",155.5,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,3F2476A,,Lotek,lotek PinPoint 75,4.3424,60,,,232341,Glue and suture,,,50.193056,-63.854722,,2022/08/30,2022/08/30 00:00:00.00,MINGAN_GRANDE,9802-83679,,,FEW(UUU),HY,M," '{culmenInmillimeters:34.7, theadInMillimeters: ,wingInMillimeters: 160}'",139.2,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,3F24779,,Lotek,lotek PinPoint 75,4.3075,60,,,232342,Glue and suture,,,50.193056,-63.854722,,2022/08/30,2022/08/30 00:00:00.00,MINGAN_GRANDE,9802-83680,,,FEW(UUV),HY,M," '{culmenInmillimeters:33.3, theadInMillimeters: ,wingInMillimeters: 168}'",143.3,,,,,
,,,failed,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,3F2478B,,Lotek,lotek PinPoint 75,4.2844,60,,,232343,Glue and suture,,,50.193056,-63.854722,,2022/08/30,2022/08/30 00:00:00.00,MINGAN_GRANDE,9802-83666,,,FEW(UUC),HY,M," '{culmenInmillimeters:37.3, theadInMillimeters: ,wingInMillimeters: 167}'",141.3,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,3F24798,,Lotek,lotek PinPoint 75,4.2968,60,,,232344,Glue and suture,,,50.193056,-63.854722,,2022/08/30,2022/08/30 00:00:00.00,MINGAN_GRANDE,9802-83676,,,FEW(UUP),HY,M," '{culmenInmillimeters:35.5, theadInMillimeters: ,wingInMillimeters: 153}'",144.5,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,3F247AD,,Lotek,Sunbird Lotek,2.2074,60,,,232345,Glue and suture,,,50.192778,-63.745278,,2022/09/12,2022/09/12 00:00:00.00,MINGAN_NIAPISKAU,9822-00345,,,FEW(UYJ),HY,M," '{culmenInmillimeters:35.7, theadInMillimeters: ,wingInMillimeters: 162}'",129.8,,,,,
,Upland sandpiper,,not_rekn,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,3F247BE,,Lotek,Sunbird Lotek,2,60,,,232346,Harness,,,46.792827,-70.848161,,2022/06/01,2022/06/01 00:00:00.00,"LaDurantaye,Quebec",1643-06567,,,FEW(AL3),AHY,F," '{culmenInmillimeters:27,44,theadInMillimeters: , wingInMillimeters: 171}'",148.0,,,,,
,Upland sandpiper,,not_rekn,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,3F247C7,,Lotek,Sunbird Lotek,2,60,,,232347,Harness,,,46.653306,-72.034778,,2022/05/25,2022/05/25 00:00:00.00,"St-Marc-Carrieres, Quebec",1643-06565,,,FEW(AL1),AHY,F," '{culmenInmillimeters:25,88,theadInMillimeters: , wingInMillimeters: 169}'",170,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,3F247D4,,Lotek,Sunbird Lotek,2.2363,60,,,232348,Glue and suture,,,50.192778,-63.745278,,2022/10/23,2022/10/23 00:00:00.00,MINGAN_NIAPISKAU,9822-51719,,,FEW(UYH),HY,F," '{culmenInmillimeters:34.4, theadInMillimeters: ,wingInMillimeters: 162}'",170.7,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,3F247E1,,Lotek,Sunbird Lotek,2.248,60,,,232349,Glue and suture,,,50.192778,-63.745278,,2022/10/23,2022/10/23 00:00:00.00,MINGAN_NIAPISKAU,9822-51714,,,FEW(UYA),HY,F," '{culmenInmillimeters:34.0, theadInMillimeters: ,wingInMillimeters: 154}'",151.5,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,3F247F2,,Lotek,Sunbird Lotek,2.2768,60,,,232350,Glue and suture,,,50.192778,-63.745278,,2022/09/12,2022/09/12 00:00:00.00,MINGAN_NIAPISKAU,9822-00344,,,FEW(UYY),HY,M," '{culmenInmillimeters:34.3, theadInMillimeters: ,wingInMillimeters: 163}'",128.8,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,3F40500,,Lotek,Sunbird Lotek,2.2473,60,,,232351,Glue and suture,,,50.192778,-63.745278,,2022/09/12,2022/09/12 00:00:00.00,MINGAN_NIAPISKAU,9822-00342,,,FEW(UYC),HY,F," '{culmenInmillimeters:35.2, theadInMillimeters: ,wingInMillimeters: 164}'",157.7,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,3F40513,,Lotek,Sunbird Lotek,2.2965,60,,,232352,Glue and suture,,,50.193056,-63.854722,,2022/09/01,2022/09/01 00:00:00.00,MINGAN_GRANDE,9802-83696,,,FEW(UCT),AHY,M," '{culmenInmillimeters:-, theadInMillimeters: ,wingInMillimeters: 170}'",123.9,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,,,Lotek,Sunbird Lotek,2.2343,60,,,232353,Glue and suture,,,50.192778,-63.745278,,2022/09/12,2022/09/12 00:00:00.00,MINGAN_NIAPISKAU,9822-00343,,,FEW(UYU),HY,F," '{culmenInmillimeters:36.2, theadInMillimeters: ,wingInMillimeters: 153}'",125.3,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,,,Lotek,Sunbird Lotek,2,,,,239408,Glue and suture,,,50.192778,-63.745278,,2023/09/02,2023/09/02 00:00:00.00,MINGAN_NIAPISKAU,9822-68225,,,FEW(UJY),HY,U," '{culmenInmillimeters:,theadInMillimeters: , wingInMillimeters: 161}'",154.8,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,,,Lotek,Sunbird Lotek,2.36,,,,239409,Glue and suture,,,50.192778,-63.745278,,2023/09/28,2023/09/28 00:00:00.00,MINGAN_NIAPISKAU,9822-68247,,,FEW(UTE),HY,U," '{culmenInmillimeters:34.1,theadInMillimeters: , wingInMillimeters: 162}'",132.6,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,,,Lotek,Sunbird Lotek,2.31,,,,239410,Glue and suture,,,50.192778,-63.745278,,2023/09/30,2023/09/30 00:00:00.00,MINGAN_NIAPISKAU,9822-68256,,,FEW(UTT),HY,U," '{culmenInmillimeters:38.1,theadInMillimeters: , wingInMillimeters: 166}'",130.2,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,,,Lotek,Sunbird Lotek,2,,,,239411,Glue and suture,,,50.192778,-63.745278,,2023/09/15,2023/09/15 00:00:00.00,MINGAN_NIAPISKAU,9822-68229,,,FEW(UVV),HY,U," '{culmenInmillimeters:38.0,theadInMillimeters: , wingInMillimeters: 163}'",174.6,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,,,Lotek,Sunbird Lotek,2.24,,,,239412,Glue and suture,,,50.192778,-63.745278,,2023/09/29,2023/09/29 00:00:00.00,MINGAN_NIAPISKAU,9822-68254,,,FEW(UTU),HY,U," '{culmenInmillimeters:35.1,theadInMillimeters: , wingInMillimeters: 162}'",133.5,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,,,Lotek,Sunbird Lotek,2,,,,239413,Glue and suture,,,50.192778,-63.745278,,2023/09/15,2023/09/15 00:00:00.00,MINGAN_NIAPISKAU,9822-68231,,,FEW(UVH),HY,U," '{culmenInmillimeters:36.5,theadInMillimeters: , wingInMillimeters: 168}'",172.6,,,,,
,,,not_deployed,,,Red Knot rufa Migration Quebec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,deployed in 2024,,not_deployed,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,,,Lotek,Sunbird Lotek,2.41,,,,239415,Glue and suture,,,50.192778,-63.745278,,2023/09/28,2023/09/28 00:00:00.00,MINGAN_NIAPISKAU,9822-68245,,,FEW(UTC),HY,U," '{culmenInmillimeters:35.9,theadInMillimeters: , wingInMillimeters: 162}'",133.8,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,,,Lotek,Sunbird Lotek,2,,,,239416,Glue and suture,,,50.192778,-63.745278,,2023/09/02,2023/09/02 00:00:00.00,MINGAN_NIAPISKAU,9822-68222,,,FEW(UJP),HY,U," '{culmenInmillimeters:,theadInMillimeters: , wingInMillimeters: 164}'",134.5,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,,,Lotek,Sunbird Lotek,2,,,,239417,Glue and suture,,,50.192778,-63.745278,,2023/09/15,2023/09/15 00:00:00.00,MINGAN_NIAPISKAU,9802-82400,,,FEW(UVA),HY,U," '{culmenInmillimeters:36.4,theadInMillimeters: , wingInMillimeters: 168}'",157.8,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,,,Lotek,Sunbird Lotek,2,,,,239418,Glue and suture,,,50.192778,-63.745278,,2023/09/15,2023/09/15 00:00:00.00,MINGAN_NIAPISKAU,9822-68230,,,FEW(UVN),HY,U," '{culmenInmillimeters:34.9,theadInMillimeters: , wingInMillimeters: 168}'",182.6,,,,,
,,,track,Red Knot rufa Migration Quebec,1391392826,Red Knot rufa Migration Quebec,,,Lotek,Sunbird Lotek,2.23,,,,239419,Glue and suture,,,50.192778,-63.745278,,2023/09/28,2023/09/28 00:00:00.00,MINGAN_NIAPISKAU,9822-68246,,,FEW(UTY),HY,U," '{culmenInmillimeters:32.8,theadInMillimeters: , wingInMillimeters: 161}'",137.6,,,,,
